Total Generation,700
Population Size,2000
Crossover Rate,0.8
Mutation Rate,0.9
Angle Mutation Rate,0.1
Angle Bit Flip Rate,0.3
k Tournament Selection,5
Fitness,Area,AreaPenalty,PnsPenalty
354701,0.532854,60500,294200,
317000,0.429882,76500,240500,
294800,0.356828,33800,261000,
294800,0.356828,33800,261000,
276501,0.608232,76500,200000,
245501,0.526278,47500,198000,
245501,0.526278,47500,198000,
225951,0.574523,70750,155200,
225951,0.574523,70750,155200,
225951,0.574523,70750,155200,
225751,0.526071,83750,142000,
211301,0.60318,39300,172000,
204501,0.586891,48500,156000,
204501,0.586891,48500,156000,
204501,0.586891,48500,156000,
203251,0.533499,63250,140000,
177151,0.586077,39150,138000,
160750,0.462187,53750,107000,
160750,0.462187,53750,107000,
160750,0.462187,53750,107000,
159301,0.500873,52300,107000,
156500,0.484039,31500,125000,
156100,0.444096,15100,141000,
152300,0.469835,45300,107000,
152300,0.469835,45300,107000,
152300,0.469835,45300,107000,
146051,0.535462,40850,105200,
146051,0.535462,40850,105200,
130501,0.514434,22500,108000,
130501,0.514434,22500,108000,
130501,0.514434,22500,108000,
130501,0.514434,22500,108000,
130501,0.514434,22500,108000,
128351,0.529841,43350,85000,
120251,0.52534,27250,93000,
120251,0.501114,27250,93000,
120251,0.501114,27250,93000,
120251,0.501114,27250,93000,
115551,0.502853,47550,68000,
102401,0.501525,32600,69800,
102401,0.501525,32600,69800,
76800.5,0.532082,30800,46000,
76800.5,0.532082,30800,46000,
76800.5,0.532082,30800,46000,
76800.5,0.532082,30800,46000,
74600.5,0.523103,28600,46000,
74600.5,0.523103,28600,46000,
74600.5,0.523103,28600,46000,
74600.5,0.523103,28600,46000,
74600.5,0.523103,28600,46000,
74600.5,0.521058,28600,46000,
68100.5,0.473771,18600,49500,
63000.5,0.501928,17000,46000,
63000.5,0.501928,17000,46000,
63000.5,0.501928,17000,46000,
63000.5,0.501928,17000,46000,
54600.5,0.541217,28600,26000,
54600.5,0.541217,28600,26000,
54600.5,0.541217,28600,26000,
54600.5,0.541217,28600,26000,
54600.5,0.541217,28600,26000,
54600.5,0.541217,28600,26000,
54600.5,0.541217,28600,26000,
36500.5,0.499358,22500,14000,
36500.5,0.499358,22500,14000,
36500.5,0.499358,22500,14000,
36500.5,0.499358,22500,14000,
36500.5,0.499358,22500,14000,
36500.5,0.499358,22500,14000,
36500.5,0.499358,22500,14000,
36500.5,0.499358,22500,14000,
36500.5,0.499358,22500,14000,
36500.5,0.49799,22500,14000,
36500.5,0.49799,22500,14000,
36500.5,0.49799,22500,14000,
30100.5,0.467723,4100,26000,
30100.5,0.467723,4100,26000,
30100.5,0.467723,4100,26000,
30100.5,0.467723,4100,26000,
30100.5,0.467723,4100,26000,
30100.5,0.467723,4100,26000,
30100.5,0.467723,4100,26000,
30000.5,0.504633,17000,13000,
24550.5,0.496252,11550,13000,
24550.5,0.496252,11550,13000,
24550.5,0.496252,11550,13000,
24550.5,0.496252,11550,13000,
22300.5,0.49137,8300,14000,
22300.5,0.49137,8300,14000,
22300.5,0.49137,8300,14000,
22300.5,0.49137,8300,14000,
22300.5,0.49137,8300,14000,
22300.5,0.487494,8300,14000,
22300.5,0.487494,8300,14000,
21000.5,0.455862,7000,14000,
21000.5,0.455862,7000,14000,
21000.5,0.455862,7000,14000,
21000.5,0.455862,7000,14000,
21000.5,0.455862,7000,14000,
21000.5,0.455862,7000,14000,
21000.5,0.455862,7000,14000,
20900.5,0.487503,6900,14000,
20900.5,0.487503,6900,14000,
20900.5,0.487503,6900,14000,
20900.5,0.487503,6900,14000,
17600.5,0.46849,7600,10000,
