NetC502_1,C502-1,D503-1,R501-1
NetC509_2,C509-2,C510-2,T501-9
NetC509_3,L501-2,M503-6,R518-2
NetC511_1,C511-1,D509-A,R515-2
NetC518_2,C518-2,R520-2
NetC519_1,C519-1,M503-14
NetC519_2,C519-1,R523-2
NetC520_1,C520-1,M503-3
NetC520_2,R518-1,R520-1,R527-2
NetC525_1,C525-1,M503-4,R526-1
NetD503_2,D503-2,T501-8
NetD505_2,D505-2,T501-5
NetD506_K,D506-K,ZD502-K
NetD508_A,D508-A,M503-24,T501-1
NetD508_K,D508-K,ZD504-K
NetD509_K,D509-K,Q504-D,R515-1,R517-2,T501-7
NetM503_13,M503-13,R519-2
NetM503_5,M503-5,Q504-G
NetM503_7,M503-7,R517-1
NetR519_1,R519-1,R532-1
NetR526_2,R526-2,ZD502-A
NetR530_1,R530-1,ZD504-A
NetR531_1,R531-1,R532-2
